Root after shoot method: 1.0799025067826216
Dots for plot:
x = 0.0, T = -5.399347635659524e-13
x = 0.8276547992653488, T = 0.8389865829766759
x = 0.8296588060432311, T = 0.8408655735602515
x = 0.8316628128211132, T = 0.842744188491145
x = 0.8336668195989954, T = 0.8446224334814427
x = 0.8356708263768776, T = 0.8465003142729441
x = 0.8376748331547598, T = 0.8483778366371623
x = 0.839678839932642, T = 0.8502550063753235
x = 0.8416828467105242, T = 0.8521318293183674
x = 0.8436868534884064, T = 0.8540083113269472
x = 0.8456908602662886, T = 0.8558844582914292
x = 0.8476948670441709, T = 0.857760276131893
x = 0.849698873822053, T = 0.8596357707981321
x = 0.8517028805999353, T = 0.861510948269653
x = 0.8537068873778174, T = 0.8633858145556754
x = 0.8557108941556996, T = 0.8652603756951325
x = 0.8577149009335818, T = 0.867134637756671
x = 0.859718907711464, T = 0.8690086101510578
x = 0.8617229144893462, T = 0.8708823415840315
x = 0.8637269212672284, T = 0.8727558513781801
x = 0.8657309280451106, T = 0.8746291459119848
x = 0.8677349348229928, T = 0.8765022315816919
x = 0.8697389416008751, T = 0.8783751148013141
x = 0.8717429483787572, T = 0.8802478020026292
x = 0.8737469551566395, T = 0.8821202996351809
x = 0.8757509619345216, T = 0.8839926141662785
x = 0.8777549687124038, T = 0.8858647520809969
x = 0.879758975490286, T = 0.8877367198821771
x = 0.8817629822681682, T = 0.889608524090425
x = 0.8837669890460504, T = 0.8914801712441129
x = 0.8857709958239326, T = 0.8933516678993785
x = 0.8877750026018149, T = 0.895223020630125
x = 0.889779009379697, T = 0.8970942360280214
x = 0.8917830161575793, T = 0.8989653207025026
x = 0.8937870229354614, T = 0.9008362812807686
x = 0.8957910297133437, T = 0.9027071244077859
x = 0.8977950364912258, T = 0.9045778567462857
x = 0.899799043269108, T = 0.9064484849767657
x = 0.9018030500469902, T = 0.9083190157974887
x = 0.9038070568248724, T = 0.9101894559244836
x = 0.9058110636027547, T = 0.9120598120915447
